Dota 2, Counter-Strike Global Offensive, Team Fortress 2, Counter-Strike, Sid Meier's Civilization V, Counter-Strike Source, The Elder Scrolls V Skyrim, Garry's Mod, Call of Duty Modern Warfare 2 - Multiplayer, Left 4 Dead 2, Terraria, Football Manager 2013, Football Manager 2012, Warframe, Football Manager 2015, Football Manager 2014, Arma 3, Grand Theft Auto V, Borderlands 2, Empire Total War
user_ide,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5250,FalloutNewVegas,CompanyofHeroes2,TheElderScrollsVSkyrim,Dishonored,Metro2033,TheElderScrollsIVOblivion,CompanyofHeroesNewSteamVersion,DeusExInvisibleWar,H1Z1TestServer,CompanyofHeroesTalesofValor,FINALFANTASYVII,WormsReloaded,BioShockInfinite,SurgeonSimulator,FEARPerseusMandate,RedOrchestra2HeroesofStalingradSinglePlayer,SaintsRowTheThird,HalfLife,GTREvolution,CallofDutyBlackOpsII
76767,CallofDutyBlackOpsMultiplayer,CallofDutyBlackOpsIIMultiplayer,FreeStyle2StreetBasketball,CallofDutyBlackOpsII,H1Z1,Dishonored,DirtyBomb,CallofDutyModernWarfare3Multiplayer,MagickaWizardWars,NoMoreRoominHell,CounterStrike,CallofDutyWorldatWar,Robocraft,CallofDutyAdvancedWarfareMultiplayer,TheExpendabros,CallofDutyModernWarfare2,HeroesGenerals,CallofDutyGhostsMultiplayer,SpiralKnights,DeadIslandRiptide
86540,TotalWarROMEIIEmperorEdition,Nosgoth,CallofDutyModernWarfare2,MountBladeWarband,CompanyofHeroesNewSteamVersion,TheWitcher2AssassinsofKingsEnhancedEdition,MedievalIITotalWar,TotalWarSHOGUN2,DontStarve,BioShock,LANoire,WarThunder,TheElderScrollsIVOblivion,Fallout3GameoftheYearEdition,StarWarsRepublicCommando,JustCause2,SniperEliteV2,WormsReloaded,EmpireTotalWar,RedOrchestra2HeroesofStalingradSinglePlayer
229911,CounterStrikeSource,CounterStrikeGlobalOffensive,Ricochet,H1Z1,HalfLife2,Rust,EuroTruckSimulator2,Arma3,CallofDutyBlackOpsMultiplayer,KillingFloor,CallofDutyBlackOpsIIMultiplayer,CastleCrashers,CallofDutyModernWarfare2Multiplayer,DirtyBomb,CounterStrikeNexonZombies,CounterStrikeConditionZero,PathofExile,AgeofEmpiresIIICompleteCollection,TheElderScrollsVSkyrim,CallofDutyAdvancedWarfareMultiplayer
298950,HalfLife2,CommandandConquerRedAlert3Uprising,Portal,Outlast,SimCity4Deluxe,JustCause2,Firefall,WaroftheRoses,Starbound,RisingStormRedOrchestra2Multiplayer,BioShockInfinite,Awesomenauts,DeusExGameoftheYearEdition,MiddleearthShadowofMordor,SpaceEngineers,DeusExHumanRevolutionDirectorsCut,HalfLife2EpisodeOne,TheWitcherEnhancedEdition,WolfensteinTheNewOrder,BioShock
381543,MountBladeWarband,MedievalIITotalWar,MedievalIITotalWarKingdoms,CallofDutyAdvancedWarfareMultiplayer,FalloutNewVegas,7DaystoDie,DontStarveTogetherBeta,TheForest,Borderlands2,ZombiePanicSource,TotalWarROMEIIEmperorEdition,DayofDefeatSource,EmpireTotalWar,TheElderScrollsIVOblivion,StateofDecay,RisingStormRedOrchestra2Multiplayer,DarkestHourEurope4445,Neverwinter,Dishonored,PatchtestingforChivalry
547685,TeamFortress2,Dota2,HalfLifeDeathmatchSource,Left4Dead,GarrysMod,NapoleonTotalWar,Unturned,DCUniverseOnline,Left4Dead2,NoMoreRoominHell,PathofExile,GrandTheftAutoV,Borderlands,WarThunder,CallofDutyModernWarfare3,NEOTOKYO,GoatSimulator,CallofDutyBlackOps,Terraria,Portal
554278,MountBladeWarband,SpaceEngineers,Besiege,CompanyofHeroes,PlanetaryAnnihilation,WormsReloaded,HalfLife2EpisodeOne,GarrysMod,TeamFortress2,Starbound,AgeofChivalry,XCOMEnemyUnknown,APBReloaded,HeroesGenerals,TheWitcher2AssassinsofKingsEnhancedEdition,DeadIslandEpidemic,MedievalIITotalWar,Borderlands,RedFactionGuerrillaSteamEdition,JustCause2
561758,CallofDutyModernWarfare2,Trove,CallofDutyBlackOpsMultiplayer,CounterStrikeSource,SurgeonSimulator,WormsReloaded,SaintsRowIV,JustCause2,AssassinsCreedIII,SaintsRowTheThird,Left4Dead,MirrorsEdge,CrysisWars,HalfLife2LostCoast,CallofDutyAdvancedWarfareMultiplayer,CallofDutyModernWarfare2Multiplayer,FarCry3,TombRaider,DayofDefeatSource,Dishonored
