User_ID	Game_ID	Hours
1	1	273.0
1	2	87.0
1	3	14.9
1	4	12.1
1	5	8.9
1	6	8.5
1	7	8.1
1	8	7.5
1	9	3.3
1	10	2.8
1	11	2.5
1	12	2.0
1	13	1.4
1	14	1.3
1	15	1.3
1	16	0.8
1	17	0.8
1	18	0.6
1	19	0.5
1	20	0.5
1	21	0.5
1	22	0.5
1	23	0.5
1	24	0.4
1	25	0.1
1	26	0.1
2	22	2.3
3	41	238.0
3	42	84.0
3	1	58.0
3	43	22.0
3	44	13.8
3	45	10.2
3	46	7.8
3	47	7.0
3	48	5.2
3	49	4.8
3	50	3.4
3	51	3.2
3	52	2.8
3	53	2.6
3	54	2.3
3	55	0.7
3	56	0.6
3	57	0.5
3	58	0.4
3	59	0.3
3	60	0.1
3	10	0.1
4	76	86.0
4	77	72.0
4	5	71.0
4	78	59.0
4	79	54.0
4	80	50.0
4	81	35.0
4	82	35.0
4	83	35.0
4	84	34.0
4	59	33.0
4	85	32.0
4	86	25.0
4	87	24.0
4	88	23.0
4	89	23.0
4	90	23.0
4	91	22.0
4	92	21.0
4	93	21.0
4	94	19.6
4	95	18.5
4	96	18.3
4	97	16.9
4	98	14.3
4	99	13.7
4	100	13.4
4	101	12.5
4	102	12.2
4	103	11.5
4	104	11.2
4	105	11.1
4	106	11.0
4	107	10.2
4	108	10.1
4	109	9.8
4	110	9.8
4	111	9.7
4	112	9.7
4	52	9.6
4	113	9.0
4	114	8.9
4	115	8.6
4	116	8.4
4	117	8.3
4	118	7.8
4	119	7.6
4	4	7.5
4	120	7.3
4	121	7.2
4	122	7.0
4	123	6.7
4	124	6.6
4	125	6.4
4	126	6.4
4	127	6.2
4	128	6.0
4	43	5.9
4	129	5.7
4	130	5.6
4	131	5.6
4	132	5.5
4	133	5.5
4	134	5.5
4	135	5.2
4	136	4.9
4	137	4.4
4	138	4.3
4	139	4.2
4	140	4.0
4	141	4.0
4	142	4.0
4	143	3.7
4	144	3.4
4	145	3.3
4	146	3.2
4	147	3.0
4	148	2.9
4	149	2.8
4	150	2.8
4	151	2.8
4	152	2.7
4	153	2.6
4	154	2.5
4	155	2.5
4	156	2.4
4	157	2.2
4	158	2.2
4	159	2.0
4	160	1.9
4	161	1.9
4	162	1.9
4	163	1.8
4	164	1.8
4	165	1.8
4	166	1.7
4	9	1.7
4	167	1.6
4	18	1.5
4	168	1.4
4	169	1.4
4	170	1.3
4	171	1.3
4	44	1.3
4	172	1.1
4	173	1.1
4	174	1.1
4	175	1.1
4	176	1.0
4	177	1.0
4	178	0.9
4	179	0.9
4	180	0.9
4	181	0.9
4	182	0.9
4	183	0.8
4	184	0.8
4	185	0.8
4	186	0.8
4	187	0.8
4	23	0.8
4	188	0.8
4	189	0.8
4	190	0.7
4	191	0.7
4	192	0.7
4	193	0.7
4	194	0.6
4	195	0.6
4	196	0.6
4	197	0.6
4	198	0.6
4	199	0.6
4	200	0.6
4	48	0.6
4	201	0.5
4	202	0.5
4	203	0.5
4	204	0.5
4	62	0.5
4	205	0.5
4	3	0.5
4	206	0.5
4	207	0.5
4	208	0.5
4	209	0.5
4	210	0.5
4	211	0.4
4	212	0.4
4	213	0.4
4	214	0.4
4	215	0.4
4	216	0.4
4	217	0.4
4	218	0.4
4	219	0.4
4	220	0.4
4	221	0.4
4	222	0.4
4	223	0.4
4	224	0.4
4	225	0.3
4	226	0.3
4	227	0.3
4	228	0.3
4	229	0.3
4	230	0.3
4	231	0.3
4	232	0.3
4	233	0.3
4	234	0.3
4	235	0.2
4	236	0.2
4	237	0.2
4	238	0.2
4	239	0.2
4	240	0.2
4	241	0.2
4	242	0.2
4	243	0.2
4	244	0.2
4	245	0.2
4	246	0.2
4	247	0.2
4	248	0.2
4	249	0.2
4	250	0.2
4	251	0.2
4	252	0.1
4	253	0.1
4	58	0.1
4	254	0.1
4	255	0.1
4	256	0.1
4	257	0.1
4	258	0.1
4	259	0.1
6	10	13.0
7	271	92.0
7	281	47.0
7	544	22.0
7	545	10.3
7	546	6.8
7	547	3.1
7	548	1.1
8	22	9.1
9	22	0.5
10	10	42.0
11	22	3.4
12	550	42.0
13	551	29.0
13	10	10.1
13	529	5.6
14	552	1.0
15	22	14.8
15	11	8.8
15	553	0.9
